conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
RELATIONSHIP_TYPE:1,Archaeological Site/Complex,,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Collector,GCI
RELATIONSHIP_TYPE:2,is the bibliography for / has bibliography,,,RELATIONSHIP_TYPE:1,Index,TMP
RELATIONSHIP_TYPE:3,is the image of / has image,,,RELATIONSHIP_TYPE:1,Index,TMP
RELATIONSHIP_TYPE:4,is the plan for / has plan,,,RELATIONSHIP_TYPE:1,Index,TMP
RELATIONSHIP_TYPE:5,is related to,,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
RELATIONSHIP_TYPE:6,is contained within / contains,,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
RELATIONSHIP_TYPE:7,was identified in / identified,,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
RELATIONSHIP_TYPE:8,was assessed in / assessed,,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
RELATIONSHIP_TYPE:9,is referred to in / refers to,,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
RELATIONSHIP_TYPE:10,is represented by / represents,,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
