Conceptid,Value,ValueType,Provider
RULER_UID:1,1,sortorder,BM/TMP
RULER_UID:2,2,sortorder,BM/TMP
RULER_UID:3,3,sortorder,BM/TMP
RULER_UID:4,4,sortorder,BM/TMP
RULER_UID:5,5,sortorder,BM/TMP
RULER_UID:6,6,sortorder,BM/TMP
RULER_UID:7,7,sortorder,BM/TMP
RULER_UID:8,8,sortorder,BM/TMP
RULER_UID:9,9,sortorder,BM/TMP
RULER_UID:10,10,sortorder,BM/TMP
RULER_UID:11,11,sortorder,BM/TMP
RULER_UID:12,12,sortorder,BM/TMP
RULER_UID:13,13,sortorder,BM/TMP
RULER_UID:14,14,sortorder,BM/TMP
RULER_UID:15,15,sortorder,BM/TMP
RULER_UID:16,16,sortorder,BM/TMP
RULER_UID:17,17,sortorder,BM/TMP
RULER_UID:18,18,sortorder,BM/TMP
RULER_UID:19,19,sortorder,BM/TMP
RULER_UID:20,20,sortorder,BM/TMP
RULER_UID:21,21,sortorder,BM/TMP
RULER_UID:22,22,sortorder,BM/TMP
RULER_UID:23,23,sortorder,BM/TMP
RULER_UID:24,24,sortorder,BM/TMP
RULER_UID:25,25,sortorder,BM/TMP
RULER_UID:26,26,sortorder,BM/TMP
RULER_UID:27,27,sortorder,BM/TMP
RULER_UID:28,28,sortorder,BM/TMP
RULER_UID:29,29,sortorder,BM/TMP
RULER_UID:30,30,sortorder,BM/TMP
RULER_UID:31,31,sortorder,BM/TMP
RULER_UID:32,32,sortorder,BM/TMP
RULER_UID:33,33,sortorder,BM/TMP
RULER_UID:34,34,sortorder,BM/TMP
RULER_UID:35,35,sortorder,BM/TMP
RULER_UID:36,36,sortorder,BM/TMP
RULER_UID:37,37,sortorder,BM/TMP
RULER_UID:38,38,sortorder,BM/TMP
RULER_UID:39,39,sortorder,BM/TMP
RULER_UID:40,40,sortorder,BM/TMP
RULER_UID:41,41,sortorder,BM/TMP
RULER_UID:42,42,sortorder,BM/TMP
RULER_UID:43,43,sortorder,BM/TMP
RULER_UID:44,44,sortorder,BM/TMP
RULER_UID:45,45,sortorder,BM/TMP
RULER_UID:46,46,sortorder,BM/TMP
RULER_UID:47,47,sortorder,BM/TMP
RULER_UID:48,48,sortorder,BM/TMP
RULER_UID:49,49,sortorder,BM/TMP
RULER_UID:50,50,sortorder,BM/TMP
RULER_UID:51,51,sortorder,BM/TMP
RULER_UID:52,52,sortorder,BM/TMP
RULER_UID:53,53,sortorder,BM/TMP
RULER_UID:54,54,sortorder,BM/TMP
RULER_UID:55,55,sortorder,BM/TMP
RULER_UID:56,56,sortorder,BM/TMP
RULER_UID:57,57,sortorder,BM/TMP
RULER_UID:58,58,sortorder,BM/TMP
RULER_UID:59,59,sortorder,BM/TMP
RULER_UID:60,60,sortorder,BM/TMP
RULER_UID:61,61,sortorder,BM/TMP
RULER_UID:62,62,sortorder,BM/TMP
RULER_UID:63,63,sortorder,BM/TMP
RULER_UID:64,64,sortorder,BM/TMP
RULER_UID:65,65,sortorder,BM/TMP
RULER_UID:66,66,sortorder,BM/TMP
RULER_UID:67,67,sortorder,BM/TMP
RULER_UID:68,68,sortorder,BM/TMP
RULER_UID:69,69,sortorder,BM/TMP
RULER_UID:70,70,sortorder,BM/TMP
RULER_UID:71,71,sortorder,BM/TMP
RULER_UID:72,72,sortorder,BM/TMP
RULER_UID:73,73,sortorder,BM/TMP
RULER_UID:74,74,sortorder,BM/TMP
RULER_UID:75,75,sortorder,BM/TMP
RULER_UID:76,76,sortorder,BM/TMP
RULER_UID:77,77,sortorder,BM/TMP
RULER_UID:78,78,sortorder,BM/TMP
RULER_UID:79,79,sortorder,BM/TMP
RULER_UID:80,80,sortorder,BM/TMP
RULER_UID:81,81,sortorder,BM/TMP
RULER_UID:82,82,sortorder,BM/TMP
RULER_UID:83,83,sortorder,BM/TMP
RULER_UID:84,84,sortorder,BM/TMP
RULER_UID:85,85,sortorder,BM/TMP
RULER_UID:86,86,sortorder,BM/TMP
RULER_UID:87,87,sortorder,BM/TMP
RULER_UID:88,88,sortorder,BM/TMP
RULER_UID:89,89,sortorder,BM/TMP
RULER_UID:90,90,sortorder,BM/TMP
RULER_UID:91,91,sortorder,BM/TMP
RULER_UID:92,92,sortorder,BM/TMP
RULER_UID:93,93,sortorder,BM/TMP
RULER_UID:94,94,sortorder,BM/TMP
RULER_UID:95,95,sortorder,BM/TMP
RULER_UID:96,96,sortorder,BM/TMP
RULER_UID:97,97,sortorder,BM/TMP
RULER_UID:98,98,sortorder,BM/TMP
RULER_UID:99,99,sortorder,BM/TMP
RULER_UID:100,100,sortorder,BM/TMP
RULER_UID:101,101,sortorder,BM/TMP
RULER_UID:102,102,sortorder,BM/TMP
RULER_UID:103,103,sortorder,BM/TMP
RULER_UID:104,104,sortorder,BM/TMP
RULER_UID:105,105,sortorder,BM/TMP
RULER_UID:106,106,sortorder,BM/TMP
RULER_UID:107,107,sortorder,BM/TMP
RULER_UID:108,108,sortorder,BM/TMP
RULER_UID:109,109,sortorder,BM/TMP
RULER_UID:110,110,sortorder,BM/TMP
RULER_UID:111,111,sortorder,BM/TMP
RULER_UID:112,112,sortorder,BM/TMP
RULER_UID:113,113,sortorder,BM/TMP
RULER_UID:114,114,sortorder,BM/TMP
RULER_UID:115,115,sortorder,BM/TMP
RULER_UID:116,116,sortorder,BM/TMP
RULER_UID:117,117,sortorder,BM/TMP
RULER_UID:118,118,sortorder,BM/TMP
RULER_UID:119,119,sortorder,BM/TMP
RULER_UID:120,120,sortorder,BM/TMP
RULER_UID:121,121,sortorder,BM/TMP
RULER_UID:122,122,sortorder,BM/TMP
RULER_UID:123,123,sortorder,BM/TMP
RULER_UID:124,124,sortorder,BM/TMP
RULER_UID:125,125,sortorder,BM/TMP
RULER_UID:126,126,sortorder,BM/TMP
RULER_UID:127,127,sortorder,BM/TMP
RULER_UID:128,128,sortorder,BM/TMP
RULER_UID:129,129,sortorder,BM/TMP
RULER_UID:130,130,sortorder,BM/TMP
RULER_UID:131,131,sortorder,BM/TMP
RULER_UID:132,132,sortorder,BM/TMP
RULER_UID:133,133,sortorder,BM/TMP
RULER_UID:134,134,sortorder,BM/TMP
RULER_UID:135,135,sortorder,BM/TMP
RULER_UID:136,136,sortorder,BM/TMP
RULER_UID:137,137,sortorder,BM/TMP
RULER_UID:138,138,sortorder,BM/TMP
RULER_UID:139,139,sortorder,BM/TMP
RULER_UID:140,140,sortorder,BM/TMP
RULER_UID:141,141,sortorder,BM/TMP
RULER_UID:142,142,sortorder,BM/TMP
RULER_UID:143,143,sortorder,BM/TMP
RULER_UID:144,144,sortorder,BM/TMP
RULER_UID:145,145,sortorder,BM/TMP
RULER_UID:146,146,sortorder,BM/TMP
RULER_UID:147,147,sortorder,BM/TMP
RULER_UID:148,148,sortorder,BM/TMP
RULER_UID:149,149,sortorder,BM/TMP
RULER_UID:150,150,sortorder,BM/TMP
RULER_UID:151,151,sortorder,BM/TMP
RULER_UID:152,152,sortorder,BM/TMP
