conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
NAME_TYPE:1,Primary,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:2,English ,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:3,Arabic,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:4,Other,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:5,Coptic,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:6,Demotic,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:7,Egyptian,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:8,French,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:9,German,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:10,Greek,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:11,Italian,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:12,Latin,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:13,Spanish,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
